timeDuration,IS,gender(M/F),Stu/Work,AE,score(1)/evaluator(2),I_H/M/L,AS,A_H/M/L,AS-IS,SS,SF,ES,EF,age
395,6,2,1,1,1,2,8,3,2,6,6,6,5,20
367,3,1,1,1,1,1,4,2,1,6,6,6,6,20
464,3,1,2,1,1,1,5,2,2,5,4,4,4,30
416,5,2,1,1,1,2,6,2,1,4,6,6,6,20
356,3,2,1,1,1,1,3,1,0,7,6,5,4,20
446,3,2,2,1,1,1,9,3,6,7,4,5,4,40
368,4,1,1,1,2,2,3,1,-1,2,6,6,6,20
402,6,2,2,2,1,2,4,2,-2,6,6,6,6,35
320,5,2,2,2,1,2,8,3,3,7,3,4,3,30
379,7,1,1,2,1,3,6,2,-1,6,7,6,7,21
536,7,1,1,2,1,3,9,3,2,4,4,5,5,20
413,8,2,1,1,2,3,9,3,1,7,6,7,6,20
431,7,2,1,2,2,3,8,3,1,7,7,6,7,20
451,7,1,1,2,2,3,2,1,-5,3,3,5,3,23
423,6,2,1,2,2,2,3,1,-3,3,4,5,4,23
421,6,1,1,2,2,2,2,1,-4,6,6,6,6,24
251,8,2,2,2,2,3,9,3,1,7,7,7,7,29
377,6,1,1,1,2,2,6,2,0,6,6,6,6,21
354,7,2,1,1,2,3,8,3,1,6,5,6,5,20
399,2,2,1,2,1,1,2,1,0,6,6,6,6,22
373,5,2,1,2,2,2,7,3,2,7,6,6,5,21
212,3,1,2,2,2,1,5,2,2,4,4,5,4,45
446,1,1,2,1,1,1,5,2,4,4,1,7,4,24
882,6,1,2,1,1,2,4,2,-2,5,4,4,4,32
422,6,1,1,1,1,2,4,2,-2,4,6,5,6,22
424,6,2,2,1,2,2,3,1,-3,4,4,4,4,42
384,4,1,1,1,2,2,3,1,-1,6,6,5,6,28
541,3,2,2,2,1,1,3,1,0,7,7,7,7,36
388,6,2,1,2,2,2,5,2,-1,5,5,5,5,25
475,7,2,1,2,2,3,8,3,1,6,4,5,4,22
402,5,2,1,2,2,2,5,2,0,5,6,5,6,24
490,5,2,1,2,1,2,3,1,-2,6,6,5,6,25
433,5,1,2,2,1,2,3,1,-2,7,6,7,6,24
424,7,2,2,2,2,3,7,3,0,7,5,7,5,42
660,3,2,2,2,2,1,5,2,2,3,3,5,3,37
368,5,2,2,2,2,2,8,3,3,7,7,7,7,26
359,4,2,2,2,2,2,8,3,4,7,5,6,5,37
482,4,2,1,1,1,2,2,1,-2,2,3,3,3,23
449,4,2,2,1,1,2,4,2,0,6,6,6,5,32
518,7,2,2,1,1,3,6,2,-1,6,4,6,4,33
431,3,2,2,1,1,1,8,3,5,5,5,7,5,33
894,5,2,1,1,2,2,4,2,-1,5,5,5,5,26
393,2,2,1,1,2,1,5,2,3,6,6,5,5,23
548,3,2,1,1,2,1,3,1,0,6,5,6,7,25
448,5,2,2,1,2,2,3,1,-2,5,6,5,6,31
382,5,2,2,2,1,2,8,3,3,7,7,6,5,25
504,1,2,2,2,1,1,4,2,3,5,6,6,6,31
1425,5,2,1,2,2,2,9,3,4,6,3,6,3,26
479,3,2,2,2,1,1,4,2,1,7,7,7,7,40
304,1,1,2,2,1,1,7,3,6,7,6,6,7,30
,,,,,,,,,,,,,,24.44859813
,,,,,,,,,,,,,,6.212029785
